State,weeknum,Positive
Maryland,14,2955.75
Maryland,15,6145.285714285715
Maryland,16,10847.714285714286
Maryland,17,15907.42857142857
Maryland,18,22228.285714285714
Maryland,19,29381.14285714286
Maryland,20,35986.71428571428
Maryland,21,43342.0
Maryland,22,49821.71428571428
Maryland,23,55795.28571428572
Maryland,24,60084.142857142855
Maryland,25,63207.0
Maryland,26,65723.71428571429
Maryland,27,68441.14285714286
Maryland,28,71442.0
Maryland,29,75739.28571428571
Maryland,30,81115.14285714286
Maryland,31,87406.71428571429
Maryland,32,93188.42857142857
Maryland,33,98203.57142857143
Maryland,34,102041.66666666667
