State,Weeknum,Positive Increase
California,10,7.0
California,11,29.285714285714285
California,12,177.57142857142858
California,13,596.0
California,14,1104.2857142857142
California,15,1193.7142857142858
California,16,1219.857142857143
California,17,1690.142857142857
California,18,1636.0
California,19,1866.2857142857142
California,20,1737.0
California,21,1981.5714285714287
California,22,2553.285714285714
California,23,2604.1428571428573
California,24,2863.285714285714
California,25,3567.0
California,26,5345.571428571428
California,27,7820.285714285715
California,28,7831.285714285715
California,29,9126.857142857143
California,30,9852.42857142857
California,31,7929.0
California,32,6428.285714285715
California,33,9628.857142857143
California,34,6015.285714285715
Florida,10,3.0
Florida,11,14.142857142857142
Florida,12,102.0
Florida,13,488.0
Florida,14,1129.2857142857142
Florida,15,1029.142857142857
Florida,16,948.7142857142857
Florida,17,790.2857142857143
Florida,18,650.0
Florida,19,645.4285714285714
Florida,20,713.1428571428571
Florida,21,754.1428571428571
Florida,22,756.5714285714286
Florida,23,1110.7142857142858
Florida,24,1661.4285714285713
Florida,25,3103.285714285714
Florida,26,6254.857142857143
Florida,27,8433.714285714286
Florida,28,9957.142857142857
Florida,29,11462.285714285714
Florida,30,10544.0
Florida,31,9039.57142857143
Florida,32,6524.857142857143
Florida,33,5801.428571428572
Florida,34,3879.285714285714
Georgia,10,1.0
Georgia,11,13.142857142857142
Georgia,12,71.57142857142857
Georgia,13,293.0
Georgia,14,570.8571428571429
Georgia,15,829.2857142857143
Georgia,16,835.5714285714286
Georgia,17,728.5714285714286
Georgia,18,743.0
Georgia,19,691.2857142857143
Georgia,20,608.5714285714286
Georgia,21,733.8571428571429
Georgia,22,592.5714285714286
Georgia,23,701.7142857142857
Georgia,24,826.1428571428571
Georgia,25,1002.8571428571429
Georgia,26,1787.0
Georgia,27,2615.1428571428573
Georgia,28,3058.5714285714284
Georgia,29,3742.4285714285716
Georgia,30,3547.1428571428573
Georgia,31,3603.4285714285716
Georgia,32,3345.5714285714284
Georgia,33,2919.1428571428573
Georgia,34,2417.0
Maryland,10,0.75
Maryland,11,4.0
Maryland,12,30.428571428571427
Maryland,13,142.14285714285714
Maryland,14,338.57142857142856
Maryland,15,659.4285714285714
Maryland,16,657.8571428571429
Maryland,17,821.5714285714286
Maryland,18,983.0
Maryland,19,1017.8571428571429
Maryland,20,888.1428571428571
Maryland,21,1072.7142857142858
Maryland,22,923.5714285714286
Maryland,23,742.1428571428571
Maryland,24,532.5714285714286
Maryland,25,372.14285714285717
Maryland,26,353.0
Maryland,27,407.85714285714283
Maryland,28,496.7142857142857
Maryland,29,717.4285714285714
Maryland,30,802.4285714285714
Maryland,31,932.2857142857143
Maryland,32,747.0
Maryland,33,672.7142857142857
Maryland,34,555.7142857142857
South Dakota,10,0.0
South Dakota,11,1.2857142857142858
South Dakota,12,1.7142857142857142
South Dakota,13,9.857142857142858
South Dakota,14,21.428571428571427
South Dakota,15,70.0
South Dakota,16,129.28571428571428
South Dakota,17,82.42857142857143
South Dakota,18,59.857142857142854
South Dakota,19,126.57142857142857
South Dakota,20,67.14285714285714
South Dakota,21,82.28571428571429
South Dakota,22,61.42857142857143
South Dakota,23,63.57142857142857
South Dakota,24,65.71428571428571
South Dakota,25,57.0
South Dakota,26,54.857142857142854
South Dakota,27,54.57142857142857
South Dakota,28,62.285714285714285
South Dakota,29,58.142857142857146
South Dakota,30,69.85714285714286
South Dakota,31,80.0
South Dakota,32,92.85714285714286
South Dakota,33,95.57142857142857
South Dakota,34,143.14285714285714
Texas,10,1.4
Texas,11,6.857142857142857
Texas,12,39.714285714285715
Texas,13,316.85714285714283
Texas,14,608.5714285714286
Texas,15,953.1428571428571
Texas,16,777.0
Texas,17,815.4285714285714
Texas,18,988.1428571428571
Texas,19,1045.857142857143
Texas,20,1273.5714285714287
Texas,21,1080.5714285714287
Texas,22,1277.0
Texas,23,1527.2857142857142
Texas,24,1839.4285714285713
Texas,25,3392.4285714285716
Texas,26,5303.857142857143
Texas,27,6644.428571428572
Texas,28,9059.857142857143
Texas,29,9481.714285714286
Texas,30,8089.428571428572
Texas,31,6975.571428571428
Texas,32,7982.428571428572
Texas,33,7031.428571428572
Texas,34,5993.571428571428
