State,month,Insured Unemployment Rate,Period
California,1,2.514545454545454,2015-2019 Avg
California,2,2.5225,2015-2019 Avg
California,3,2.4795454545454545,2015-2019 Avg
California,4,2.309090909090909,2015-2019 Avg
California,5,2.106666666666667,2015-2019 Avg
California,6,2.0068181818181814,2015-2019 Avg
California,7,2.0509090909090903,2015-2019 Avg
California,8,2.015909090909091,2015-2019 Avg
California,9,1.846818181818182,2015-2019 Avg
California,10,1.8154545454545457,2015-2019 Avg
California,11,1.8833333333333335,2015-2019 Avg
California,12,2.143333333333334,2015-2019 Avg
Florida,1,0.6495454545454546,2015-2019 Avg
Florida,2,0.5969999999999999,2015-2019 Avg
Florida,3,0.5554545454545455,2015-2019 Avg
Florida,4,0.5509090909090909,2015-2019 Avg
Florida,5,0.5657142857142858,2015-2019 Avg
Florida,6,0.5904545454545456,2015-2019 Avg
Florida,7,0.6631818181818182,2015-2019 Avg
Florida,8,0.6627272727272728,2015-2019 Avg
Florida,9,0.5940909090909092,2015-2019 Avg
Florida,10,0.5659090909090909,2015-2019 Avg
Florida,11,0.5261904761904761,2015-2019 Avg
Florida,12,0.5458333333333333,2015-2019 Avg
Georgia,1,1.009090909090909,2015-2019 Avg
Georgia,2,0.8234999999999999,2015-2019 Avg
Georgia,3,0.7254545454545455,2015-2019 Avg
Georgia,4,0.7077272727272729,2015-2019 Avg
Georgia,5,0.722857142857143,2015-2019 Avg
Georgia,6,0.7331818181818183,2015-2019 Avg
Georgia,7,0.7881818181818182,2015-2019 Avg
Georgia,8,0.719090909090909,2015-2019 Avg
Georgia,9,0.6809090909090911,2015-2019 Avg
Georgia,10,0.6927272727272729,2015-2019 Avg
Georgia,11,0.681904761904762,2015-2019 Avg
Georgia,12,0.8074999999999998,2015-2019 Avg
Maryland,1,1.836818181818182,2015-2019 Avg
Maryland,2,1.7685000000000002,2015-2019 Avg
Maryland,3,1.5709090909090904,2015-2019 Avg
Maryland,4,1.3736363636363633,2015-2019 Avg
Maryland,5,1.29,2015-2019 Avg
Maryland,6,1.3063636363636366,2015-2019 Avg
Maryland,7,1.4436363636363636,2015-2019 Avg
Maryland,8,1.4127272727272726,2015-2019 Avg
Maryland,9,1.189090909090909,2015-2019 Avg
Maryland,10,1.1813636363636362,2015-2019 Avg
Maryland,11,1.2033333333333331,2015-2019 Avg
Maryland,12,1.40125,2015-2019 Avg
South Dakota,1,0.8781818181818184,2015-2019 Avg
South Dakota,2,0.881,2015-2019 Avg
South Dakota,3,0.7595454545454547,2015-2019 Avg
South Dakota,4,0.46681818181818197,2015-2019 Avg
South Dakota,5,0.3028571428571428,2015-2019 Avg
South Dakota,6,0.3054545454545454,2015-2019 Avg
South Dakota,7,0.3218181818181819,2015-2019 Avg
South Dakota,8,0.2804545454545454,2015-2019 Avg
South Dakota,9,0.2250000000000001,2015-2019 Avg
South Dakota,10,0.24136363636363642,2015-2019 Avg
South Dakota,11,0.34714285714285714,2015-2019 Avg
South Dakota,12,0.6479166666666667,2015-2019 Avg
Texas,1,1.3250000000000004,2015-2019 Avg
Texas,2,1.2674999999999996,2015-2019 Avg
Texas,3,1.2386363636363635,2015-2019 Avg
Texas,4,1.2495454545454545,2015-2019 Avg
Texas,5,1.2557142857142858,2015-2019 Avg
Texas,6,1.2909090909090912,2015-2019 Avg
Texas,7,1.3595454545454546,2015-2019 Avg
Texas,8,1.2840909090909092,2015-2019 Avg
Texas,9,1.2154545454545456,2015-2019 Avg
Texas,10,1.1636363636363638,2015-2019 Avg
Texas,11,1.1704761904761907,2015-2019 Avg
Texas,12,1.2270833333333333,2015-2019 Avg
California,1,2.1100000000000003,2020
California,2,2.12,2020
California,3,3.2600000000000002,2020
California,4,15.217500000000001,2020
California,5,16.314,2020
California,6,16.505,2020
California,7,16.642500000000002,2020
California,8,17.02,2020
Florida,1,0.405,2020
Florida,2,0.38800000000000007,2020
Florida,3,0.58,2020
Florida,4,4.3675,2020
Florida,5,12.368,2020
Florida,6,9.425,2020
Florida,7,8.5475,2020
Florida,8,6.5,2020
Georgia,1,0.7825,2020
Georgia,2,0.61,2020
Georgia,3,2.9775,2020
Georgia,4,16.244999999999997,2020
Georgia,5,17.262,2020
Georgia,6,15.002500000000001,2020
Georgia,7,15.697500000000002,2020
Georgia,8,12.99,2020
Maryland,1,1.1749999999999998,2020
Maryland,2,1.1300000000000001,2020
Maryland,3,1.8975,2020
Maryland,4,7.9625,2020
Maryland,5,9.844000000000001,2020
Maryland,6,9.5425,2020
Maryland,7,8.7075,2020
Maryland,8,7.62,2020
South Dakota,1,0.7324999999999999,2020
South Dakota,2,0.752,2020
South Dakota,3,0.9975,2020
South Dakota,4,4.8175,2020
South Dakota,5,5.324,2020
South Dakota,6,4.12,2020
South Dakota,7,3.965,2020
South Dakota,8,3.51,2020
Texas,1,1.1425,2020
Texas,2,1.0580000000000003,2020
Texas,3,1.58,2020
Texas,4,7.3950000000000005,2020
Texas,5,10.356000000000002,2020
Texas,6,10.2775,2020
Texas,7,10.36,2020
Texas,8,9.87,2020
