,State,Weeknum,COVID-19,Insured Unemployment Rate
0,California,10,7.0,2.04
1,California,11,29.285714285714285,2.44
2,California,12,177.57142857142858,2.32
3,California,13,596.0,6.24
4,California,14,1104.2857142857142,8.25
5,California,15,1193.7142857142858,13.98
6,California,16,1219.857142857143,10.89
7,California,17,1690.142857142857,27.75
8,California,18,1636.0,16.45
9,California,19,1866.2857142857142,20.57
10,California,20,1737.0,12.44
11,California,21,1981.5714285714287,15.88
12,California,22,2553.285714285714,16.23
13,California,23,2604.1428571428573,17.32
14,California,24,2863.285714285714,16.04
15,California,25,3567.0,16.74
16,California,26,5345.571428571428,15.92
17,California,27,7820.285714285715,16.94
18,California,28,7831.285714285715,15.55
19,California,29,9126.857142857143,18.05
20,California,30,9852.42857142857,16.03
21,California,31,7929.0,17.02
25,Florida,10,3.0,0.37
26,Florida,11,14.142857142857142,0.39
27,Florida,12,102.0,0.41
28,Florida,13,488.0,1.15
29,Florida,14,1129.2857142857142,3.95
30,Florida,15,1029.142857142857,2.06
31,Florida,16,948.7142857142857,6.29
32,Florida,17,790.2857142857143,5.17
33,Florida,18,650.0,12.05
34,Florida,19,645.4285714285714,25.04
35,Florida,20,713.1428571428571,6.16
36,Florida,21,754.1428571428571,7.34
37,Florida,22,756.5714285714286,11.25
38,Florida,23,1110.7142857142858,10.71
39,Florida,24,1661.4285714285713,11.59
40,Florida,25,3103.285714285714,8.63
41,Florida,26,6254.857142857143,6.77
42,Florida,27,8433.714285714286,10.48
43,Florida,28,9957.142857142857,8.57
44,Florida,29,11462.285714285714,7.91
45,Florida,30,10544.0,7.23
46,Florida,31,9039.57142857143,6.5
50,Georgia,10,1.0,0.58
51,Georgia,11,13.142857142857142,0.63
52,Georgia,12,71.57142857142857,2.47
53,Georgia,13,293.0,8.23
54,Georgia,14,570.8571428571429,13.57
55,Georgia,15,829.2857142857143,13.94
56,Georgia,16,835.5714285714286,17.29
57,Georgia,17,728.5714285714286,20.18
58,Georgia,18,743.0,18.52
59,Georgia,19,691.2857142857143,18.01
60,Georgia,20,608.5714285714286,16.67
61,Georgia,21,733.8571428571429,17.2
62,Georgia,22,592.5714285714286,15.91
63,Georgia,23,701.7142857142857,15.55
64,Georgia,24,826.1428571428571,15.26
65,Georgia,25,1002.8571428571429,15.07
66,Georgia,26,1787.0,14.13
67,Georgia,27,2615.1428571428573,17.99
68,Georgia,28,3058.5714285714284,15.96
69,Georgia,29,3742.4285714285716,14.45
70,Georgia,30,3547.1428571428573,14.39
71,Georgia,31,3603.4285714285716,12.99
75,Maryland,10,0.75,1.06
76,Maryland,11,4.0,1.04
77,Maryland,12,30.428571428571427,1.88
78,Maryland,13,142.14285714285714,3.61
79,Maryland,14,338.57142857142856,6.3
80,Maryland,15,659.4285714285714,7.88
81,Maryland,16,657.8571428571429,8.78
82,Maryland,17,821.5714285714286,8.89
83,Maryland,18,983.0,9.97
84,Maryland,19,1017.8571428571429,9.92
85,Maryland,20,888.1428571428571,9.99
86,Maryland,21,1072.7142857142858,9.66
87,Maryland,22,923.5714285714286,9.68
88,Maryland,23,742.1428571428571,9.81
89,Maryland,24,532.5714285714286,9.56
90,Maryland,25,372.14285714285717,9.14
91,Maryland,26,353.0,9.66
92,Maryland,27,407.85714285714283,9.18
93,Maryland,28,496.7142857142857,9.1
94,Maryland,29,717.4285714285714,8.58
95,Maryland,30,802.4285714285714,7.97
96,Maryland,31,932.2857142857143,7.62
100,South Dakota,10,0.0,0.69
101,South Dakota,11,1.2857142857142858,0.64
102,South Dakota,12,1.7142857142857142,0.85
103,South Dakota,13,9.857142857142858,1.81
104,South Dakota,14,21.428571428571427,3.45
105,South Dakota,15,70.0,4.7
106,South Dakota,16,129.28571428571428,5.43
107,South Dakota,17,82.42857142857143,5.69
108,South Dakota,18,59.857142857142854,5.6
109,South Dakota,19,126.57142857142857,6.03
110,South Dakota,20,67.14285714285714,5.37
111,South Dakota,21,82.28571428571429,4.7
112,South Dakota,22,61.42857142857143,4.92
113,South Dakota,23,63.57142857142857,4.46
114,South Dakota,24,65.71428571428571,4.11
115,South Dakota,25,57.0,4.1
116,South Dakota,26,54.857142857142854,3.81
117,South Dakota,27,54.57142857142857,4.47
118,South Dakota,28,62.285714285714285,3.96
119,South Dakota,29,58.142857142857146,3.74
120,South Dakota,30,69.85714285714286,3.69
121,South Dakota,31,80.0,3.51
125,Texas,10,1.4,1.05
126,Texas,11,6.857142857142857,1.03
127,Texas,12,39.714285714285715,1.18
128,Texas,13,316.85714285714283,3.06
129,Texas,14,608.5714285714286,5.14
130,Texas,15,953.1428571428571,7.41
131,Texas,16,777.0,7.82
132,Texas,17,815.4285714285714,9.21
133,Texas,18,988.1428571428571,9.6
134,Texas,19,1045.857142857143,10.57
135,Texas,20,1273.5714285714287,10.34
136,Texas,21,1080.5714285714287,11.39
137,Texas,22,1277.0,9.88
138,Texas,23,1527.2857142857142,10.54
139,Texas,24,1839.4285714285713,9.93
140,Texas,25,3392.4285714285716,10.58
141,Texas,26,5303.857142857143,10.06
142,Texas,27,6644.428571428572,10.61
143,Texas,28,9059.857142857143,10.08
144,Texas,29,9481.714285714286,10.82
145,Texas,30,8089.428571428572,9.93
146,Texas,31,6975.571428571428,9.87
