Jurisdiction,Openness Score
California,22
New Mexico,31
Washington,42
Hawaii,43
Texas,45
Illinois,46
New York,46
Colorado,52
Kentucky,52
Vermont,52
North Carolina,53
Louisiana,54
Michigan,54
New Hampshire,54
Oregon,57
Nevada,58
Tennessee,58
Delaware,59
Maryland,60
Massachusetts,60
Minnesota,61
Mississippi,63
Wisconsin,63
Montana,64
Pennsylvania,64
Connecticut,65
Rhode Island,65
West Virginia,65
New Jersey,67
Florida,68
Virginia,69
Maine,71
Indiana,72
Georgia,73
South Carolina,76
Arizona,77
Arkansas,78
Alabama,81
North Dakota,82
Ohio,82
Nebraska,85
Wyoming,85
Kansas,86
Utah,86
Idaho,90
Missouri,90
Iowa,92
Oklahoma,93
Alaska,96
South Dakota,96
